iter	Passed	Remaining
0	1	214
1	2	193
2	4	202
3	5	207
4	7	207
5	8	208
6	10	207
7	11	207
8	13	207
9	14	204
10	15	200
11	17	197
12	18	196
13	20	199
14	21	195
15	22	191
16	23	187
17	25	184
18	26	184
19	28	182
20	29	180
21	30	177
22	31	175
23	33	174
24	34	174
25	36	173
26	37	171
27	38	169
28	40	167
29	41	165
30	42	164
31	44	162
32	45	161
33	46	159
34	48	158
35	50	159
36	51	158
37	53	157
38	54	155
39	56	154
40	57	152
41	58	151
42	60	149
43	61	148
44	62	146
45	64	146
46	66	145
47	67	144
48	69	142
49	70	141
50	71	139
51	73	137
52	74	136
53	75	134
54	77	133
55	78	131
56	80	130
57	81	129
58	83	128
59	84	126
60	85	125
61	87	123
62	88	121
63	89	120
64	91	119
65	92	118
66	94	117
67	96	115
68	97	114
69	98	112
70	99	111
71	101	109
72	102	108
73	104	107
74	105	105
75	107	104
76	109	103
77	110	102
78	111	100
79	112	98
80	114	97
81	115	95
82	116	93
83	118	92
84	119	91
85	120	89
86	122	88
87	124	87
88	125	86
89	126	84
90	128	83
91	129	81
92	131	80
93	132	79
94	134	77
95	135	76
96	137	75
97	139	74
98	141	72
99	142	71
100	143	69
101	145	68
102	146	66
103	147	65
104	149	63
105	150	62
106	152	61
107	154	60
108	155	58
109	157	57
110	158	55
111	159	54
112	161	52
113	162	51
114	163	49
115	165	48
116	166	46
117	168	45
118	169	44
119	171	42
120	172	41
121	174	39
122	175	38
123	176	37
124	178	35
125	179	34
126	180	32
127	182	31
128	183	29
129	185	28
130	187	27
131	188	25
132	189	24
133	191	22
134	192	21
135	193	19
136	195	18
137	196	17
138	198	15
139	200	14
140	202	12
141	204	11
142	206	10
143	207	8
144	209	7
145	210	5
146	212	4
147	214	2
148	215	1
149	217	0
